# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_11b65979a50_model
# start_datetime = 2023-06-28 14:53:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/standata-11b63355ece5.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/model_08e181b24ccdd8ab650ed682bc542235-202306281153-2-974233.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/model_08e181b24ccdd8ab650ed682bc542235-profile-202306281153-2-61181a.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0190101
# Diagonal elements of inverse mass matrix:
# 0.0866859, 5.82363, 0.355725, 0.159114, 0.0166969, 0.0670653, 0.181088, 0.0937555, 0.2616, 0.285491, 0.0692541, 0.240641, 0.170516, 0.460213, 0.357065, 0.491749, 0.528875, 0.670166, 0.743803, 0.246869, 0.595196, 0.597905, 0.889966, 0.719176, 0.855839, 0.835954, 0.909417, 0.914731, 1.35306, 0.643044, 0.522957, 0.761183, 0.69044, 0.719302, 0.901387, 0.747254, 0.750352, 1.57937, 0.363136, 0.178406, 0.528479, 0.37401, 0.538694, 0.679239, 0.872941, 0.61694, 0.501448, 0.0812919, 0.0299803, 0.251931, 0.0994243, 0.222912, 0.189284, 0.410402, 0.268977, 0.149014, 0.135281, 0.118353, 0.35415, 0.170598, 0.318213, 0.310057, 0.699523, 0.459537, 0.604668, 0.208074, 0.114471, 0.430691, 0.250981, 0.464651, 0.519358, 0.632906, 0.60086, 0.343754, 0.0705028, 0.0376271, 0.250714, 0.109453, 0.210984, 0.171548, 0.351353, 0.229544, 0.141112, 0.0546529, 0.0359695, 0.264474, 0.105071, 0.168022, 0.159573, 0.305345, 0.225423, 0.0973545, 0.0252105, 0.00156277, 0.0270861, 0.075669, 0.171596, 0.162118, 0.16683, 0.228491, 0.149286, 0.153561, 0.194487, 0.150091, 0.161973
-1963.43,0.994238,0.0190101,8,255,0,2024.66,0.134959,9.19065,-1.89818,-1.3082,0.213504,-0.349204,1.57922,-1.16662,1.06134,0.355537,4.45576,0.0887261,0.640095,0.748265,0.563678,0.148933,0.0892619,0.55123,-0.544351,1.05147,0.393375,0.836145,-0.238647,1.04465,-0.611966,0.344366,-0.294814,-0.72656,0.269058,-0.429335,1.03991,1.95225,-0.819936,-0.361287,-0.274829,-0.528845,0.571481,0.153497,-0.799913,0.681241,0.276769,1.17897,0.280355,-0.404307,-1.15013,-0.337955,0.677644,-0.0393226,0.627351,-0.523628,0.642686,-1.38042,-0.321453,-2.05838,-0.417466,0.801289,0.166674,0.47198,-0.553738,0.825312,0.130006,0.0418733,-1.39345,0.250179,1.10222,-1.05474,-0.371182,-0.65043,-0.976505,-0.791944,0.2968,0.898622,0.667977,0.143628,-0.217637,-0.0794977,-1.19913,-0.143767,0.574378,-0.969462,-0.393576,0.876174,0.87799,0.0331652,-0.168561,-1.14459,-0.45862,0.143873,-0.843166,-0.729122,0.89653,1.27327,0.31322,0.399451,1.86611,1.08694,-0.929532,0.365037,0.340204,-1.22388,0.151467,0.246383,-1.00176,0.0973532,0.268961,-8.45785,-5.82901,0.951324,-1.55597,7.03661,-5.19817,4.72906,1.58419,0.0932926,0.673038,0.786775,0.592688,0.156599,0.0938559,0.5796,-0.572367,0.105841,0.224972,-0.0642099,0.281071,-0.164655,0.0926546,-0.0793222,-0.195487,-0.0659018,0.159624,0.299665,-0.125858,-0.0554567,-0.0421855,-0.0811764,0.0877209,-0.542056,0.461639,0.187551,0.798918,0.189981,-0.273976,-0.77938,-0.229013,-0.0315087,0.502689,-0.419578,0.514978,-1.10612,-0.257577,-1.64935,-0.334511,0.183712,0.520228,-0.610343,0.909678,0.143296,0.0461537,-1.5359,0.275753,-0.15149,-0.053312,-0.0934197,-0.140253,-0.113745,0.0426287,0.129067,0.0959399,-0.191083,-0.0697982,-1.05282,-0.126226,0.504298,-0.851178,-0.345556,0.769272,0.0422282,-0.214624,-1.45737,-0.583946,0.183189,-1.07358,-0.928367,1.14152,-1.01034,0.396772,0.36978,-1.33028,0.164635,0.267802,-1.08885,0.105817,0.292343,-25.5003,0.134959
-1961.62,0.975607,0.0190101,8,255,0,2007.91,0.13295,7.30197,-1.80988,-1.02514,-0.0603104,-0.415936,0.968853,-0.387668,0.679827,0.882258,6.513,-0.407456,1.22075,1.83347,0.799305,0.472938,1.16209,-0.431557,-0.856515,0.360303,0.373126,0.899358,0.778336,-1.75648,-0.145338,-0.293844,-0.285263,-0.187975,0.134865,0.820739,0.579155,-0.143114,-0.0232802,0.635953,-0.431031,1.35713,-0.859821,0.150429,-0.172158,0.322169,-1.08123,0.0857889,-0.807394,-0.787535,-1.33263,-0.153478,0.801022,-0.709241,0.730694,-1.47931,0.683796,0.241243,-0.0495606,-3.23162,0.807806,0.581202,-0.530895,0.840039,-0.847061,-0.448925,-0.00843602,0.498844,-1.91611,0.782015,0.453837,-0.234525,0.164043,-0.208512,0.18208,0.279727,-2.61022,-0.200512,0.0196661,0.467915,-0.0028078,-0.204614,-1.56109,-0.484647,-0.0685227,-0.423755,-1.76672,0.21955,1.01357,0.120325,-0.225933,-1.12456,-0.427441,0.00409822,-0.450151,-1.15539,0.169792,1.4028,0.276087,0.396835,2.00528,1.19471,-0.812811,0.155165,0.274898,-1.13947,0.130145,0.13842,-0.987639,0.160635,0.184299,-11.7877,-6.67674,-0.392801,-2.70899,6.31013,-2.52488,4.42771,5.74614,-0.146807,0.439839,0.660605,0.287992,0.170401,0.418704,-0.155491,-0.308605,0.0503216,0.121292,0.10497,-0.236888,-0.0196009,-0.0396293,-0.038472,-0.0253512,0.123463,0.0871214,-0.0215284,-0.00350201,0.0956655,-0.0648393,0.204152,-0.129342,-0.137903,0.258064,-0.866092,0.0687188,-0.646741,-0.630833,-1.06746,-0.12294,-0.412212,0.424681,-0.859775,0.397423,0.140211,-0.0288047,-1.87822,0.469498,-0.24094,0.381241,-0.384427,-0.203739,-0.00382858,0.226394,-0.869603,0.354907,-0.109738,0.0767581,-0.0975659,0.0851981,0.130889,-1.22136,-0.0938226,0.00920206,-0.00284589,-0.20739,-1.58227,-0.491221,-0.0694523,-0.429503,-1.79068,0.222528,0.168791,-0.316937,-1.57752,-0.599613,0.00574896,-0.631469,-1.62078,0.238184,-0.971076,0.185378,0.328424,-1.36134,0.155486,0.165372,-1.17995,0.191913,0.220184,-25.7041,0.13295
-1964.58,0.791681,0.0190101,8,255,0,2011.34,0.236048,7.23068,-1.69294,-1.5906,-0.160207,-0.757849,1.64575,-0.39303,0.452023,1.16651,5.42794,0.505583,0.996323,0.157776,0.14956,-0.164408,0.395284,-0.180163,0.341313,0.484858,0.552367,0.175071,0.953385,-0.460095,-1.39221,-0.733609,-0.614839,-0.478631,0.225766,0.945648,0.814325,0.562864,0.964939,-0.654793,-0.831994,-0.530439,0.181379,0.110424,-0.614863,0.461428,-1.80935,1.08144,-0.6362,-0.730822,-1.5647,0.617407,0.515792,-0.187849,0.196898,-1.20921,-0.222904,-0.572,1.13002,-1.57191,-0.523056,0.634195,-0.138921,0.253608,-1.43435,-0.350421,-0.580432,0.644075,-1.58236,-0.329664,1.00468,0.436498,-0.216199,-2.28615,-0.741414,-1.31151,0.0290738,-1.33481,0.0292688,0.562591,-0.0701006,-0.169334,-2.1517,-0.676237,-0.0897079,-0.582646,-1.10691,0.702268,1.03959,0.211186,-0.397406,-2.0671,-0.77336,0.366168,-0.463381,-1.15468,0.373098,1.17773,0.305809,0.380871,1.83074,0.871926,-1.20499,0.273656,0.285181,-1.52313,-0.0169049,0.187835,-1.25057,0.114489,0.30541,-9.18917,-8.63367,-0.869596,-4.11356,8.93303,-2.13334,2.45355,6.33175,0.245136,0.483075,0.076499,0.0725156,-0.0797147,0.191657,-0.0873536,0.165489,0.124706,0.0395251,0.215242,-0.103874,-0.314314,-0.165624,-0.13881,-0.108058,0.104422,0.0899211,0.0621537,0.106553,-0.072305,-0.0918722,-0.0585733,0.0200287,-0.317141,0.238001,-0.933247,0.557796,-0.328146,-0.376952,-0.807059,0.318453,-0.119133,0.124871,-0.766877,-0.141365,-0.362759,0.716655,-0.996896,-0.331719,-0.139572,0.254795,-1.44107,-0.352062,-0.583149,0.64709,-1.58977,-0.331208,0.24557,-0.121632,-1.28617,-0.417113,-0.737843,0.0163567,-0.75095,0.0164664,-0.0728761,-0.176038,-2.2369,-0.703012,-0.0932598,-0.605716,-1.15074,0.730073,0.248719,-0.468035,-2.43448,-0.910806,0.431246,-0.545736,-1.3599,0.439408,-1.05066,0.238607,0.248657,-1.32805,-0.0147398,0.163778,-1.0904,0.099826,0.266295,-25.0619,0.236048
-1954.05,0.999009,0.0190101,8,255,0,2012.97,0.0975587,10.5372,-2.38702,-1.38784,0.0232957,-0.583953,0.881985,-0.624209,1.19828,1.53321,6.0179,0.292195,0.384264,1.0766,1.25528,0.715951,1.20168,0.0115449,-2.00189,0.511003,0.69082,0.332374,-1.73632,0.295312,0.448286,1.807,1.29982,-0.565293,0.0335916,0.131125,-1.31664,-0.274645,0.612822,-0.490906,1.33703,0.46273,-0.793611,0.121996,-0.824099,0.00168554,0.0666299,0.707726,-0.182691,-0.642437,-1.1802,-1.17113,0.802543,0.0170598,0.0942663,-1.53474,0.716189,-0.0911289,0.199117,-2.51927,0.69763,0.884282,-0.194936,0.135721,-1.11401,0.401614,0.284193,0.371409,-1.72695,0.300132,0.941982,-0.0383367,-0.491676,-0.297428,0.224207,-0.201232,-1.81398,-0.886921,0.733951,0.664981,0.026711,-0.405363,-1.84467,-0.181439,0.372952,-0.494792,-1.84101,-0.536321,1.0137,0.0351112,-0.301948,-1.12098,-0.528076,-0.262686,-0.795575,-1.47492,0.308943,1.45758,0.260798,0.404401,2.16163,0.862977,-1.06432,0.302677,0.437772,-1.49351,0.157373,0.233415,-1.21063,0.244139,0.352382,-14.3649,-8.35187,0.140191,-3.51417,5.3077,-3.75642,7.21115,9.22672,0.149313,0.19636,0.550145,0.641451,0.365853,0.614063,0.00589948,-1.02297,0.0232058,0.011165,-0.0583256,0.00992001,0.0150586,0.0607001,0.043663,-0.0189891,0.0159967,-0.160626,-0.0335057,0.0747621,-0.0598889,0.163113,0.0564514,-0.0968178,-0.661375,0.00135272,0.0534734,0.56798,-0.146617,-0.515583,-0.947157,-0.939879,0.0150857,0.083358,-1.35714,0.633313,-0.0805836,0.176076,-2.22775,0.616902,-0.183626,0.127847,-1.04938,0.378313,0.267705,0.349861,-1.62676,0.282719,-0.0254932,-0.326955,-0.197784,0.149093,-0.133816,-1.20626,-0.589786,0.488063,0.0270768,-0.410915,-1.86994,-0.183924,0.37806,-0.501569,-1.86623,-0.543667,0.0511773,-0.440113,-1.63391,-0.769711,-0.382885,-1.15961,-2.14981,0.450308,-0.918485,0.261203,0.377787,-1.28886,0.13581,0.201431,-1.04475,0.210687,0.304098,-26.824,0.0975587
-1953.92,0.994959,0.0190101,8,255,0,2008.84,-0.0625571,10.9327,-0.826275,-0.83845,0.0803474,-0.329803,0.792945,-0.196428,0.617072,1.0434,9.76349,-0.353985,1.23482,1.27493,1.98721,0.425681,2.13619,-0.485524,-1.16443,0.381845,0.148573,-0.519104,0.953468,-0.416993,0.0672318,0.355995,1.22869,-0.39122,0.159538,0.82495,-0.226654,0.29284,0.441388,-1.16501,-0.266574,0.638628,-0.560579,0.399766,-0.311274,0.383175,-1.57932,0.797254,0.0589211,0.379171,-2.01687,0.428146,0.482214,-0.123354,0.268899,-0.418003,0.422111,-0.625055,0.966001,-2.03684,-0.0693324,1.29723,0.0775635,0.190589,-0.803803,0.228015,0.110491,0.495372,-1.27886,-0.0510846,1.48632,0.726484,-0.101763,-3.46022,-0.253991,-1.71732,-0.515116,-0.146051,0.744119,0.317036,0.136336,-0.157863,-1.01281,-0.120332,-0.0497761,-0.0061206,-0.90119,0.442188,1.76691,0.128775,-0.334583,-1.88516,-0.279473,0.765539,-0.211151,-1.29212,0.774495,0.872669,0.241441,0.429805,2.01456,0.756682,-1.0408,0.68441,0.768773,-1.32483,0.458301,0.60755,-1.13907,0.461829,0.488543,-8.06732,-8.1862,0.784471,-3.22003,7.74191,-1.91782,6.02477,10.1872,-0.135167,0.471509,0.486824,0.758805,0.162544,0.815692,-0.185395,-0.444632,0.0237031,-0.0828169,0.152115,-0.0665263,0.010726,0.0567949,0.196024,-0.0624146,0.329787,-0.0906086,0.117068,0.176452,-0.465731,-0.106567,0.255302,-0.224101,-0.1501,0.184772,-0.761568,0.384447,0.0284125,0.182842,-0.97256,0.206458,-0.16002,0.348825,-0.542248,0.547577,-0.810843,1.25313,-2.64226,-0.0899404,0.115284,0.283275,-1.19471,0.338903,0.164224,0.73628,-1.9008,-0.0759279,0.230322,-0.0322625,-1.09702,-0.0805243,-0.544453,-0.16331,-0.0463036,0.235913,0.240894,-0.278929,-1.78954,-0.212617,-0.0879501,-0.0108146,-1.59232,0.781307,0.112378,-0.291981,-1.64512,-0.243887,0.668062,-0.184265,-1.1276,0.675878,-0.787558,0.517881,0.581717,-1.00248,0.346788,0.459723,-0.861917,0.349458,0.369672,-28.6827,-0.0625571
-1962,0.973986,0.0190101,8,255,0,2005.09,0.70637,6.4849,-1.18525,-1.42222,-0.168333,-0.617421,1.12349,-0.735506,1.29178,1.13508,5.82763,-0.368825,0.813875,0.28892,0.11868,0.420273,-0.577947,-0.134768,0.367857,0.336206,0.2359,-0.50758,-0.985041,0.207307,-0.131625,-0.163369,-0.927885,-0.136292,0.0316916,1.01388,-0.532609,1.1875,-0.611508,1.63825,0.104802,0.0233786,-0.719991,0.0402409,-0.160447,0.157783,-0.594434,-0.136914,0.828146,-1.74112,-2.06515,-0.599403,0.560917,-0.0311388,0.183382,-0.583563,-0.0441925,-0.302251,0.34262,-2.48952,0.262128,1.46135,-0.296271,0.356548,-0.765725,0.147771,-0.00814431,-0.445338,-2.19785,-0.231586,0.917684,-0.225617,-0.688652,-1.01684,-0.660815,0.412352,-1.78368,-1.22268,0.0732672,0.603548,-0.217628,-0.242914,-0.973127,-0.353964,0.520785,-0.749021,-1.20759,0.240695,1.4998,0.0660486,-0.371178,-2.21267,-0.625731,-0.0769351,-1.11111,-1.71534,0.557828,1.13982,0.296354,0.374533,1.5723,1.05417,-1.34517,-0.271817,-0.299436,-1.82445,-0.441792,-0.385294,-1.58704,-0.390036,-0.21815,-6.90722,-8.2882,-0.980982,-3.5981,6.54726,-4.28626,7.52804,6.61484,-0.124001,0.27363,0.0971367,0.0399008,0.141299,-0.19431,-0.0453098,0.123676,0.00747606,-0.016086,-0.0312176,0.0065699,-0.00417141,-0.00517742,-0.0294062,-0.00431931,0.0407995,-0.0214326,0.047786,-0.0246076,0.0659247,0.00421734,0.000940773,-0.028973,-0.0899977,0.0885029,-0.333428,-0.0767973,0.464521,-0.976625,-1.15838,-0.336215,-0.0455045,0.267984,-0.852788,-0.0645804,-0.441693,0.500686,-3.63805,0.38306,-0.271883,0.327198,-0.702694,0.135607,-0.0074739,-0.40868,-2.01694,-0.212523,-0.13617,-0.415635,-0.613713,-0.398834,0.248874,-1.07653,-0.737944,0.0442203,-0.326399,-0.364321,-1.45949,-0.530875,0.781072,-1.12338,-1.81114,0.360994,0.0752832,-0.423074,-2.52203,-0.713218,-0.0876918,-1.26646,-1.95517,0.635821,-1.41805,-0.286542,-0.315657,-1.92329,-0.465726,-0.406166,-1.67302,-0.411166,-0.229968,-25.317,0.70637
