# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_11b66bac0b77_model
# start_datetime = 2023-06-28 15:49:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/standata-11b64fe96bd2.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/model_ca8dcd9b4d713097e042797eb154c030-202306281249-3-530af0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmprjNnIy/model_ca8dcd9b4d713097e042797eb154c030-profile-202306281249-3-7dba6b.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.00933927
# Diagonal elements of inverse mass matrix:
# 0.0904104, 2.26851, 0.197648, 0.0393983, 0.00206771, 0.00207386, 0.00686473, 0.0607562, 0.0359665, 0.295992, 0.0462057, 0.0805972, 0.0101565, 0.098682, 0.143506, 0.0784105, 0.130707, 0.0934674, 0.120288, 0.0808976, 0.0495138, 0.00991615, 0.103876, 0.178165, 0.0480587, 0.0720142, 0.0649918, 0.0648411, 0.0685178, 0.0819848, 0.0106894, 0.100455, 0.182271, 0.0525658, 0.105096, 0.0468187, 0.0715759, 0.0871005, 0.322109, 0.236396, 0.595312, 0.469863, 0.745261, 0.691256, 0.811617, 0.782631, 0.884577, 0.504655, 0.451552, 0.588695, 0.54593, 0.62319, 0.72228, 0.809083, 0.884975, 0.650997, 0.559006, 0.500289, 0.744269, 0.666565, 0.698154, 0.70469, 0.824687, 0.742142, 1.20956, 0.0699621, 0.0262228, 0.154882, 0.135933, 0.270736, 0.14997, 0.309232, 0.435805, 0.173201, 0.568231, 0.73163, 0.788958, 0.60739, 0.822029, 0.734015, 0.804491, 0.630691, 0.772063, 0.298748, 0.309316, 0.551663, 0.47257, 0.619054, 0.572386, 0.690591, 0.698338, 0.525909, 0.164303, 0.0645803, 0.0976507, 0.00777865, 0.0933706, 0.0950218, 0.11835, 0.122215, 0.0787126, 0.00185937, 0.0278139, 0.088067, 0.111468, 0.182372, 0.199462, 0.229675, 0.101703, 0.103909, 0.191008, 0.102083, 0.0991355
-478.698,0.390737,0.00933927,9,511,0,528.962,0.160727,-6.47916,-0.919281,0.78346,-0.195546,0.0920377,-0.242715,1.12052,-0.766994,-2.44364,11.51,1.2412,-0.160693,-1.02658,-1.69394,-0.00796879,-1.57007,0.409838,0.669097,0.687789,0.972149,-0.255054,-1.49568,-1.68357,0.446411,-1.02926,0.690403,0.480951,0.743203,0.724873,-0.184343,-0.95349,-1.28374,0.527064,-0.82676,0.339262,0.408073,1.01602,1.3883,0.062223,-0.285901,0.981119,-0.938225,-0.543708,-0.510439,-0.565366,0.20777,-0.589336,1.82209,-0.813515,-0.767782,1.43113,-1.41311,1.00119,0.806882,0.0896632,-0.370276,0.855497,0.264215,0.07697,-0.791614,-0.629281,2.27236,0.312959,0.10566,0.225001,-0.0345848,0.791129,0.860817,-0.198189,-0.111553,1.34573,-2.098,0.657093,-0.980909,0.533591,-2.32451,-0.144692,-0.175779,-1.22643,0.772024,-0.253467,0.0170593,0.425746,-1.06575,-1.13095,-0.932589,0.764371,0.888426,-0.422021,0.2391,0.0868756,-1.15197,0.71531,1.06936,0.204142,-0.972709,0.80941,-1.40041,0.0146193,0.120654,0.17912,2.19008,2.03323,-0.319551,0.346814,0.390902,-0.681934,0.0373248,0.0500876,-0.593275,0.034164,0.0264051,-10.5809,9.0176,-2.25073,1.05935,-2.79364,12.8972,-8.82807,-28.1262,0.853682,-0.110523,-0.706071,-1.16508,-0.00548085,-1.07988,0.281882,0.460198,0.722504,-0.189557,-1.11159,-1.25124,0.331774,-0.764945,0.513109,0.357444,0.736487,-0.187297,-0.968767,-1.30431,0.535509,-0.840006,0.344698,0.414611,0.288447,0.0129281,-0.0594017,0.203847,-0.194935,-0.112966,-0.106054,-0.117466,-0.0528417,0.163374,-0.0729423,-0.0688418,0.12832,-0.126704,0.0897702,0.0723476,-0.0391235,0.0903921,0.027917,0.00813268,-0.0836422,-0.0664901,0.240099,0.0330674,0.147846,-0.0227254,0.519845,0.565637,-0.130229,-0.0733007,0.88427,-1.37858,-0.0167336,0.00910268,-0.0396544,-0.00246835,-0.00299866,-0.020922,0.0131702,-0.00432396,0.0369869,-0.0925879,-0.0982515,-0.0810192,0.0664052,0.0771826,-0.0366634,0.020772,-0.13899,0.086305,0.129023,0.0246306,-0.117361,0.0976585,-0.168965,0.00176387,-0.649721,0.705151,0.794793,-1.38653,0.0758898,0.101839,-1.20626,0.0694632,0.0536876,-26.8835,0.160727
-473.9,0.986324,0.00933927,9,511,0,529.094,-0.271659,-6.53035,-0.51067,1.11884,-0.178438,0.221982,-0.290967,1.37424,-0.620032,-3.05944,11.899,0.7687,-0.148694,-0.521333,-1.23194,0.210682,-0.706317,-0.0629957,1.07536,1.06401,0.782075,-0.256142,-1.19748,-1.75234,0.723985,-0.849367,0.516306,0.22043,0.819706,0.641642,-0.232202,-0.735154,-1.1412,0.569577,-0.758131,0.395019,0.423872,1.12525,-0.0321542,0.60556,0.640636,0.269747,0.50038,0.246142,0.141533,-0.142895,0.188979,-0.661661,0.325117,0.312673,0.988469,-0.532371,1.83187,0.872689,-0.00723634,0.0996757,1.11623,0.802125,0.135664,-0.432278,1.78939,0.723417,-1.51441,0.0668849,0.0691561,0.10799,-0.0499373,1.04569,0.409098,0.72625,0.601484,1.19156,-0.617744,0.518314,0.857306,-0.683552,0.825161,-0.354016,0.803799,-0.503828,-0.15583,-0.626221,0.0388799,0.259662,-1.46551,0.245346,-1.50333,-0.00537495,-1.4949,0.964855,1.01297,0.0656063,-2.07526,0.885998,1.2598,0.000282672,-1.315,1.49645,0.179584,0.469717,0.0833978,0.178786,2.14733,1.10175,-0.226479,1.01646,1.08729,-0.879011,0.460129,0.50337,-0.718761,0.43983,0.415881,-6.07646,13.313,-2.12323,2.64136,-3.46221,16.3521,-7.37776,-36.4043,0.817908,-0.158213,-0.554706,-1.3108,0.224168,-0.751531,-0.0670284,1.1442,0.641072,-0.209961,-0.981579,-1.4364,0.593455,-0.696231,0.423219,0.180688,0.72201,-0.261286,-0.827235,-1.28414,0.640919,-0.853089,0.444496,0.476963,-0.00607648,0.114438,0.121067,0.0509765,0.0945613,0.0465157,0.0267468,-0.0270042,-0.0659515,0.0324063,0.0311659,0.0985264,-0.0530644,0.182593,0.0869858,-0.000721287,0.077194,0.0554718,0.00938199,-0.0298947,0.123747,0.0500287,-0.104731,0.0046255,0.0559728,-0.0258832,0.541994,0.212041,0.376425,0.311757,0.617599,-0.320185,0.033332,-0.0265764,0.0320822,-0.0137641,0.0312517,-0.0195888,-0.00605866,-0.0243474,0.0170355,-0.0961464,0.0160962,-0.098628,-0.00035263,-0.0980749,0.0633005,0.066457,-0.173072,0.0738903,0.105065,2.35743e-05,-0.109668,0.124801,0.0149769,0.0391734,-0.249522,1.11988,1.19792,-0.968448,0.506946,0.554587,-0.791894,0.484581,0.458196,-26.8313,-0.271659
-461.12,0.991865,0.00933927,9,511,0,520.394,-0.23183,-5.94304,-1.14287,0.940733,-0.216232,0.114406,-0.34443,1.35234,-0.780932,-2.70274,10.9505,0.640581,-0.18936,-0.657544,-1.06545,0.190703,-0.952866,0.182547,0.945413,1.15138,0.658821,-0.281536,-1.16144,-1.27205,0.371623,-0.786581,0.862574,0.502279,1.01457,0.794025,-0.246808,-0.876782,-1.09262,0.450885,-0.641742,0.269145,0.553708,1.26156,1.07468,-0.516043,0.716115,1.87772,-0.437506,-0.104962,-1.4632,-1.7255,0.150849,0.080796,1.73452,0.609879,0.538275,0.546526,-1.1842,-0.128,-0.194787,0.0112343,-0.772778,0.488865,1.36374,0.71305,-0.614131,-0.642331,2.316,0.719629,0.0558311,-0.0294118,-0.205557,1.34514,1.58588,0.486673,-0.246019,2.17654,-2.31228,0.500865,0.011305,-0.784911,-1.26099,0.219901,0.619057,-0.702023,0.992858,1.25429,0.0945713,0.224967,-1.15762,-0.785391,-0.874614,1.00946,0.604138,-0.183824,0.297284,0.191871,-1.36226,0.92823,1.19077,0.221669,-1.1689,0.376337,-1.4785,-0.00181371,0.106112,0.164228,1.87639,0.966759,-0.28291,1.10835,1.20708,-1.08307,0.468085,0.526563,-0.91543,0.469441,0.455511,-12.5149,10.3015,-2.36784,1.2528,-3.77167,14.8088,-8.55157,-29.5963,0.737553,-0.218026,-0.757084,-1.22674,0.219571,-1.09711,0.210181,1.08853,0.668422,-0.285639,-1.17837,-1.29059,0.377039,-0.798045,0.875145,0.509599,1.00171,-0.311364,-1.10612,-1.37841,0.568819,-0.809598,0.339543,0.698538,0.162115,-0.0778448,0.108025,0.283253,-0.0659975,-0.0158334,-0.220723,-0.26029,0.000907684,0.0194861,0.00685154,0.00604712,0.00613982,-0.0133036,-0.00143798,-0.00218829,-0.0431451,0.0272939,0.0761389,0.0398104,-0.0342876,-0.0358621,0.129305,0.0401777,-0.0147313,-0.102956,0.673736,0.79431,0.243757,-0.123222,1.09015,-1.15814,0.00106913,-0.0742301,-0.119254,0.0207963,0.058545,-0.0663912,0.0938959,0.11862,0.0431646,-0.222114,-0.150694,-0.167813,0.193686,0.115916,-0.0352704,0.0570402,-0.144552,0.0984962,0.126355,0.0235217,-0.124034,0.0399338,-0.156886,-0.000192456,-0.273506,1.07151,1.16695,-1.04707,0.452525,0.509059,-0.885,0.453837,0.44037,-26.3509,-0.23183
-461.457,0.960178,0.00933927,9,511,0,526.534,-0.265022,-6.61891,-0.988648,0.970038,-0.19237,0.153157,-0.338573,1.24519,-0.748475,-2.70929,11.8564,0.741101,-0.137521,-0.778139,-0.939486,0.0894836,-0.87384,0.110691,0.730597,1.18551,0.580801,-0.20962,-1.0605,-1.35218,0.520072,-1.03623,0.658829,0.261099,0.997023,0.734923,-0.200743,-0.818372,-1.07898,0.344109,-0.895435,0.349763,0.521349,1.09551,0.705891,-0.21294,1.88822,1.66708,-1.11681,-0.577658,-0.0582584,-0.955928,0.157631,-0.114998,1.62524,-0.106387,1.84765,0.665255,-0.630917,1.23425,-0.0104642,0.0385844,0.0642268,0.688116,0.387835,0.795296,0.28328,0.622023,1.57017,0.595453,0.145078,0.0696679,-0.155545,1.08225,1.23117,0.679104,0.238924,1.96051,-1.25055,0.456616,0.431978,-0.0666494,-0.601089,0.173215,0.133435,-0.414568,-0.383355,1.68583,0.0996885,-0.604898,-1.87729,-0.0762221,-1.50021,2.73579,1.76579,0.546844,0.986095,0.0517255,-1.50171,0.912726,1.19663,0.178948,-1.18855,0.677932,-0.843358,-0.189622,0.104063,0.15415,1.90064,0.988901,-0.20189,1.13647,1.19649,-1.0061,0.504616,0.505415,-0.753076,0.512647,0.461502,-11.7218,11.5011,-2.28081,1.81589,-4.01424,14.7635,-8.8742,-32.1223,0.878583,-0.163032,-0.922491,-1.11377,0.106084,-1.03595,0.131225,0.86613,0.579072,-0.208996,-1.05735,-1.34816,0.518524,-1.03315,0.656867,0.260322,0.805116,-0.219916,-0.896536,-1.18203,0.376976,-0.980959,0.38317,0.571144,0.111271,-0.0335661,0.297643,0.262784,-0.176044,-0.0910571,-0.00918335,-0.150684,-0.00443711,0.062709,-0.00410489,0.0712905,0.0256684,-0.0243435,0.0476229,-0.000403753,0.00931788,0.0998302,0.0562662,0.11538,0.0410975,0.0902417,0.227796,0.086387,0.0318115,-0.0710243,0.494173,0.562174,0.31009,0.109097,0.895202,-0.57102,0.0430632,-0.00664417,-0.0599217,0.0172675,0.0133019,-0.0413277,-0.0382161,0.168058,-0.0312887,-0.0971039,-0.00394262,-0.077599,0.14151,0.0913362,0.0282858,0.0510062,-0.156272,0.0949808,0.124525,0.0186218,-0.123684,0.0705474,-0.0877622,-0.0197326,-0.199649,1.12386,1.18321,-0.994932,0.499015,0.499805,-0.744717,0.506957,0.45638,-26.8851,-0.265022
-464.743,0.96317,0.00933927,9,511,0,525.655,-0.311463,-5.36021,-1.28285,0.99993,-0.149191,0.193915,-0.403007,1.1847,-0.779094,-2.67174,12.5973,0.667692,-0.132974,-0.773513,-0.725547,0.110233,-0.723578,-0.0121138,0.768401,1.31906,0.809345,-0.241346,-1.08916,-1.35249,0.405594,-0.891977,0.508547,0.72004,0.937607,0.599473,-0.213728,-0.723444,-0.843839,0.498924,-0.765935,0.23563,0.573627,1.37815,0.212936,0.00729064,-0.204927,0.424646,-0.103581,0.361487,-0.515932,-0.610245,0.66688,0.0857627,0.0750692,-0.554862,1.19577,-0.657336,0.0476252,1.59994,0.163358,0.130923,0.181309,0.610209,2.29922,0.782059,0.673352,-2.13513,0.492351,0.496343,0.0594088,0.0901582,-0.219619,1.43409,1.03137,0.705395,-0.886916,1.03865,-2.12632,0.485226,-0.26958,-0.976762,0.474891,0.888622,1.68478,-0.881645,0.210842,0.751989,0.124613,1.96605,-1.53238,0.168845,-0.132866,1.91767,0.768958,0.0320037,1.25447,0.0734087,-1.2453,0.796104,0.997227,0.0764478,-0.811147,0.954464,-0.57362,0.614381,0.133952,0.166706,1.71444,0.994411,-0.196808,1.17375,1.24825,-0.903213,0.536111,0.596944,-0.794663,0.524832,0.504308,-16.1604,12.5964,-1.87939,2.44279,-5.07678,14.924,-9.81444,-33.6566,0.880727,-0.175401,-1.02031,-0.957041,0.145404,-0.954444,-0.0159788,1.01357,0.758847,-0.226288,-1.0212,-1.2681,0.380288,-0.836324,0.476817,0.675114,0.826165,-0.29455,-0.997016,-1.16294,0.687594,-1.05558,0.324733,0.790545,0.142003,0.00486199,-0.136662,0.283188,-0.0690758,0.241069,-0.344065,-0.40696,0.0112283,0.00982825,-0.0726441,0.156553,-0.0860601,0.00623522,0.209469,0.0213873,0.0107713,0.0362518,0.136594,0.0464612,0.0400031,-0.126846,0.02925,0.0294872,0.0437471,-0.106565,0.695858,0.50045,0.342276,-0.430355,0.503979,-1.03174,-0.0335932,-0.121717,0.0591777,0.110734,0.209945,-0.109864,0.0262737,0.0937077,0.144325,-0.11249,0.0123947,-0.00975351,0.140773,0.0564482,0.00234935,0.0920891,-0.16681,0.10664,0.13358,0.0102403,-0.108655,0.127852,-0.0768374,0.0822975,-0.195708,1.16719,1.24127,-0.898165,0.533115,0.593608,-0.790221,0.521899,0.501489,-26.7165,-0.311463
-466.212,0.927043,0.00933927,9,511,0,518.334,-0.358232,-6.9187,-1.16189,0.7228,-0.178678,0.116475,-0.240592,0.94216,-0.793676,-1.9508,14.1428,0.70769,-0.108065,-0.65788,-0.925822,-0.0145542,-0.862938,0.112195,0.488688,1.29652,0.690581,-0.243074,-1.07458,-1.57972,0.516107,-1.03729,0.740686,0.238135,0.891175,0.745055,-0.224274,-0.799948,-1.17175,0.343279,-0.835203,0.360002,0.385577,1.04621,0.33408,0.32557,0.38678,1.53105,-0.420922,-0.698696,-0.441371,-1.03886,0.124921,-0.551046,1.22043,1.52865,0.0844575,0.694364,0.329567,-0.276553,0.309331,0.126389,0.473819,0.230605,0.210003,-0.235761,-0.452306,1.22459,0.284223,0.0298695,0.262193,-0.163291,-0.156528,1.4001,0.687664,0.988667,0.355348,2.57284,-1.51591,0.501273,0.0497922,-0.824236,0.698289,-1.2237,-0.170711,1.22573,1.28766,-1.21189,0.0624938,1.38144,-1.48335,-1.97392,-1.14642,-0.308646,-1.02307,0.0271145,0.751677,0.0712384,-1.41721,1.01429,1.13158,0.0505921,-1.21193,0.591765,-0.327898,-0.0598859,0.100534,0.169445,2.43004,1.1283,-0.120442,1.09491,1.14536,-0.768646,0.545588,0.545106,-0.575786,0.560717,0.493271,-16.4323,10.2224,-2.52701,1.64728,-3.40264,13.3248,-11.2248,-27.5897,0.917537,-0.140109,-0.852957,-1.20035,-0.0188699,-1.11882,0.145463,0.633596,0.615428,-0.216621,-0.957635,-1.40781,0.459942,-0.924411,0.660081,0.21222,0.779484,-0.234638,-0.836914,-1.22589,0.359142,-0.873798,0.376638,0.403395,0.0417334,0.0406704,0.0483168,0.19126,-0.0525819,-0.0872815,-0.0551364,-0.129775,-0.0696462,0.154249,0.193205,0.0106745,0.0877601,0.0416537,-0.0349533,0.0390961,0.124232,0.060463,0.0550614,-0.0618149,-0.118592,0.321079,0.0745213,0.00783158,-0.0818532,-0.0784633,0.701831,0.344708,0.495592,0.178126,1.2897,-0.759886,0.0031117,-0.0515096,0.0436387,-0.0764733,-0.0106684,0.0766006,0.0804706,-0.0757355,0.0984117,-0.105671,-0.140619,-0.0816694,-0.0219874,-0.072882,0.0019316,0.0535483,-0.142478,0.101972,0.113763,0.00508625,-0.12184,0.0594928,-0.0329651,-0.0060206,-0.135895,1.23539,1.29231,-0.867267,0.615589,0.615046,-0.649662,0.63266,0.55656,-27.7068,-0.358232
