date,location,param,value,units,bdl,ortho_dose,pipe_material,detection_limit
2017-09-27,LP1,Iron,0.008,mg/L,FALSE,0-0.5,NA,0.005
2017-09-27,LP1,Lead,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-09-27,LP1,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-09-27,LP11,Iron,0.007,mg/L,FALSE,0-0.5,Pb-Cu,0.005
2017-09-27,LP11,Lead,0.0079,mg/L,FALSE,0-0.5,Pb-Cu,2e-4
2017-09-27,LP11,Lead Dissolved,0.0072,mg/L,FALSE,0-0.5,Pb-Cu,2e-4
2017-09-27,LP12,Iron,0.007,mg/L,FALSE,0-0.5,Pb #1,0.005
2017-09-27,LP12,Lead,0.2352,mg/L,FALSE,0-0.5,Pb #1,2e-4
2017-09-27,LP12,Lead Dissolved,0.2192,mg/L,FALSE,0-0.5,Pb #1,2e-4
2017-09-27,LP13,Iron,0.007,mg/L,FALSE,0-0.5,Pb #2,0.005
2017-09-27,LP13,Lead,0.2467,mg/L,FALSE,0-0.5,Pb #2,2e-4
2017-09-27,LP13,Lead Dissolved,0.2357,mg/L,FALSE,0-0.5,Pb #2,2e-4
2017-09-27,LP14,Iron,0.007,mg/L,FALSE,0-0.5,Cu,0.005
2017-09-27,LP14,Lead,2e-4,mg/L,TRUE,0-0.5,Cu,2e-4
2017-09-27,LP14,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,Cu,2e-4
2017-09-27,LP15,Iron,0.007,mg/L,FALSE,0-0.5,Cu/Pb-Sn,0.005
2017-09-27,LP15,Lead,0.0012,mg/L,FALSE,0-0.5,Cu/Pb-Sn,2e-4
2017-09-27,LP15,Lead Dissolved,9e-4,mg/L,FALSE,0-0.5,Cu/Pb-Sn,2e-4
2017-09-27,LP1A,Iron,0.03,mg/L,FALSE,0-0.5,NA,0.005
2017-09-27,LP1A,Lead,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-09-27,LP1A,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-09-27,LP2,Iron,0.008,mg/L,FALSE,1.0,NA,0.005
2017-09-27,LP2,Lead,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-09-27,LP2,Lead Dissolved,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-09-27,LP21,Iron,0.022,mg/L,FALSE,1.0,Pb-Cu,0.005
2017-09-27,LP21,Lead,0.0465,mg/L,FALSE,1.0,Pb-Cu,2e-4
2017-09-27,LP21,Lead Dissolved,0.0403,mg/L,FALSE,1.0,Pb-Cu,2e-4
2017-09-27,LP22,Iron,0.007,mg/L,FALSE,1.0,Pb #1,0.005
2017-09-27,LP22,Lead,0.2508,mg/L,FALSE,1.0,Pb #1,2e-4
2017-09-27,LP22,Lead Dissolved,0.232,mg/L,FALSE,1.0,Pb #1,2e-4
2017-09-27,LP23,Iron,0.007,mg/L,FALSE,1.0,Pb #2,0.005
2017-09-27,LP23,Lead,0.2312,mg/L,FALSE,1.0,Pb #2,2e-4
2017-09-27,LP23,Lead Dissolved,0.2262,mg/L,FALSE,1.0,Pb #2,2e-4
2017-09-27,LP24,Iron,0.007,mg/L,FALSE,1.0,Cu,0.005
2017-09-27,LP24,Lead,2e-4,mg/L,TRUE,1.0,Cu,2e-4
2017-09-27,LP24,Lead Dissolved,2e-4,mg/L,TRUE,1.0,Cu,2e-4
2017-09-27,LP25,Iron,0.007,mg/L,FALSE,1.0,Cu/Pb-Sn,0.005
2017-09-27,LP25,Lead,6e-4,mg/L,FALSE,1.0,Cu/Pb-Sn,2e-4
2017-09-27,LP25,Lead Dissolved,5e-4,mg/L,FALSE,1.0,Cu/Pb-Sn,2e-4
2017-09-27,LP2A,Iron,0.015,mg/L,FALSE,1.0,NA,0.005
2017-09-27,LP2A,Lead,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-09-27,LP2A,Lead Dissolved,2e-4,mg/L,TRUE,1.0,NA,2e-4
2017-09-27,LP3,Iron,0.008,mg/L,FALSE,2.0-0.75,NA,0.005
2017-09-27,LP3,Lead,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-09-27,LP3,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-09-27,LP31,Iron,0.008,mg/L,FALSE,2.0-0.75,Pb-Cu,0.005
2017-09-27,LP31,Lead,0.0572,mg/L,FALSE,2.0-0.75,Pb-Cu,2e-4
2017-09-27,LP31,Lead Dissolved,0.0548,mg/L,FALSE,2.0-0.75,Pb-Cu,2e-4
2017-09-27,LP32,Iron,0.008,mg/L,FALSE,2.0-0.75,Pb #1,0.005
2017-09-27,LP32,Lead,0.2803,mg/L,FALSE,2.0-0.75,Pb #1,2e-4
2017-09-27,LP32,Lead Dissolved,0.2682,mg/L,FALSE,2.0-0.75,Pb #1,2e-4
2017-09-27,LP33,Iron,0.009,mg/L,FALSE,2.0-0.75,Pb #2,0.005
2017-09-27,LP33,Lead,0.2662,mg/L,FALSE,2.0-0.75,Pb #2,2e-4
2017-09-27,LP33,Lead Dissolved,0.246,mg/L,FALSE,2.0-0.75,Pb #2,2e-4
2017-09-27,LP34,Iron,0.007,mg/L,FALSE,2.0-0.75,Cu,0.005
2017-09-27,LP34,Lead,2e-4,mg/L,TRUE,2.0-0.75,Cu,2e-4
2017-09-27,LP34,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,Cu,2e-4
2017-09-27,LP35,Iron,0.008,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,0.005
2017-09-27,LP35,Lead,5e-4,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,2e-4
2017-09-27,LP35,Lead Dissolved,0.0024,mg/L,FALSE,2.0-0.75,Cu/Pb-Sn,2e-4
2017-09-27,LP3A,Iron,0.11,mg/L,FALSE,2.0-0.75,NA,0.005
2017-09-27,LP3A,Lead,0.0012,mg/L,FALSE,2.0-0.75,NA,2e-4
2017-09-27,LP3A,Lead Dissolved,2e-4,mg/L,TRUE,2.0-0.75,NA,2e-4
2017-10-04,LP1,Iron,0.009,mg/L,FALSE,0-0.5,NA,0.005
2017-10-04,LP1,Lead,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-04,LP1,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-04,LP11,Iron,0.009,mg/L,FALSE,0-0.5,Pb-Cu,0.005
2017-10-04,LP11,Lead,0.0204,mg/L,FALSE,0-0.5,Pb-Cu,2e-4
2017-10-04,LP11,Lead Dissolved,0.0191,mg/L,FALSE,0-0.5,Pb-Cu,2e-4
2017-10-04,LP12,Iron,0.009,mg/L,FALSE,0-0.5,Pb #1,0.005
2017-10-04,LP12,Lead,0.2504,mg/L,FALSE,0-0.5,Pb #1,2e-4
2017-10-04,LP12,Lead Dissolved,0.2426,mg/L,FALSE,0-0.5,Pb #1,2e-4
2017-10-04,LP13,Iron,0.009,mg/L,FALSE,0-0.5,Pb #2,0.005
2017-10-04,LP13,Lead,0.2694,mg/L,FALSE,0-0.5,Pb #2,2e-4
2017-10-04,LP13,Lead Dissolved,0.2604,mg/L,FALSE,0-0.5,Pb #2,2e-4
2017-10-04,LP14,Iron,0.009,mg/L,FALSE,0-0.5,Cu,0.005
2017-10-04,LP14,Lead,2e-4,mg/L,TRUE,0-0.5,Cu,2e-4
2017-10-04,LP14,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,Cu,2e-4
2017-10-04,LP15,Iron,0.008,mg/L,FALSE,0-0.5,Cu/Pb-Sn,0.005
2017-10-04,LP15,Lead,8e-4,mg/L,FALSE,0-0.5,Cu/Pb-Sn,2e-4
2017-10-04,LP15,Lead Dissolved,6e-4,mg/L,FALSE,0-0.5,Cu/Pb-Sn,2e-4
2017-10-04,LP1A,Iron,0.016,mg/L,FALSE,0-0.5,NA,0.005
2017-10-04,LP1A,Lead,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
2017-10-04,LP1A,Lead Dissolved,2e-4,mg/L,TRUE,0-0.5,NA,2e-4
